VIN_1_10,County,City,State,Postal_Code,Model_Year,Make,Model,Electric_Vehicle_Type,Electric_Range,Base_MSRP,Legislative_District,DOL_Vehicle_ID,Electric_Utility
1N4AZ0CP2D,king,seattle,WA,98144,2013,nissan,leaf,battery electric vehicle (bev),75,0,37,236153935,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
3C3CFFGE6E,kitsap,bremerton,WA,98312,2014,fiat,500,battery electric vehicle (bev),87,0,35,348695021,PUGET SOUND ENERGY INC
WBY1Z2C59F,king,seattle,WA,98117,2015,bmw,i3,battery electric vehicle (bev),81,0,36,167141285,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5UXTA6C05P,kitsap,kingston,WA,98346,2023,bmw,x5,plug-in hybrid electric vehicle (phev),30,0,23,220323715,PUGET SOUND ENERGY INC
1G1FZ6S0XK,thurston,lacey,WA,98503,2019,chevrolet,bolt ev,battery electric vehicle (bev),238,0,22,154553129,PUGET SOUND ENERGY INC
5YJ3E1EA7J,thurston,olympia,WA,98506,2018,tesla,model 3,battery electric vehicle (bev),215,0,22,198214327,PUGET SOUND ENERGY INC
5YJSA1E20H,yakima,selah,WA,98942,2017,tesla,model s,battery electric vehicle (bev),210,0,15,348359546,PACIFICORP
1N4AZ0CP7D,yakima,wapato,WA,98951,2013,nissan,leaf,battery electric vehicle (bev),75,0,15,211150110,PACIFICORP
1FADP5CU2F,kitsap,port orchard,WA,98366,2015,ford,c-max,plug-in hybrid electric vehicle (phev),19,0,26,6369121,PUGET SOUND ENERGY INC
1N4AZ0CPXD,yakima,yakima,WA,98902,2013,nissan,leaf,battery electric vehicle (bev),75,0,14,195250156,PACIFICORP
WBY1Z8C38H,king,renton,WA,98059,2017,bmw,i3,plug-in hybrid electric vehicle (phev),97,0,11,109661478,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
3C3CFFGE9H,kitsap,port orchard,WA,98367,2017,fiat,500,battery electric vehicle (bev),84,0,26,108857717,PUGET SOUND ENERGY INC
WMEEJ9AA1E,yakima,yakima,WA,98902,2014,smart,fortwo electric drive,battery electric vehicle (bev),58,0,14,348973390,PACIFICORP
5YJXCBE22H,snohomish,snohomish,WA,98290,2017,tesla,model x,battery electric vehicle (bev),200,0,44,127202344,PUGET SOUND ENERGY INC
5YJ3E1EA3J,kitsap,bremerton,WA,98312,2018,tesla,model 3,battery electric vehicle (bev),215,0,35,315650730,PUGET SOUND ENERGY INC
JM3KKBHA4R,thurston,olympia,WA,98502,2024,mazda,cx-90,plug-in hybrid electric vehicle (phev),26,0,22,258501596,PUGET SOUND ENERGY INC
5YJ3E1EA9L,king,redmond,WA,98052,2020,tesla,model 3,battery electric vehicle (bev),266,0,48,109674358,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJ3E1EA2K,king,renton,WA,98055,2019,tesla,model 3,battery electric vehicle (bev),220,0,11,219401507,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
JTDKN3DP0F,yakima,moxee,WA,98936,2015,toyota,prius plug-in,plug-in hybrid electric vehicle (phev),6,0,15,132420991,PACIFICORP
1FADP5CU6F,kitsap,bremerton,WA,98311,2015,ford,c-max,plug-in hybrid electric vehicle (phev),19,0,23,4190413,PUGET SOUND ENERGY INC
KMHC65LD9L,kitsap,bremerton,WA,98312,2020,hyundai,ioniq,plug-in hybrid electric vehicle (phev),29,0,35,8874211,PUGET SOUND ENERGY INC
1FMCU0KZ0N,thurston,rochester,WA,98579,2022,ford,escape,plug-in hybrid electric vehicle (phev),38,0,35,197535796,PUGET SOUND ENERGY INC
1N4AZ1CP0K,king,bothell,WA,98011,2019,nissan,leaf,battery electric vehicle (bev),150,0,1,476783093,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
KNDPZDAH5P,yakima,yakima,WA,98902,2023,kia,sportage,plug-in hybrid electric vehicle (phev),34,0,14,238039126,PACIFICORP
1G1RB6S50K,thurston,lacey,WA,98503,2019,chevrolet,volt,plug-in hybrid electric vehicle (phev),53,0,22,316710355,PUGET SOUND ENERGY INC
5UXTS1C08M,king,bellevue,WA,98006,2021,bmw,x3,plug-in hybrid electric vehicle (phev),17,0,41,141984146,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1G1RA6S58H,kitsap,hansville,WA,98340,2017,chevrolet,volt,plug-in hybrid electric vehicle (phev),53,0,23,164941983,PUGET SOUND ENERGY INC
3FA6P0SU0L,kitsap,bremerton,WA,98312,2020,ford,fusion,plug-in hybrid electric vehicle (phev),26,0,35,133567066,PUGET SOUND ENERGY INC
1N4AZ0CP5F,thurston,olympia,WA,98512,2015,nissan,leaf,battery electric vehicle (bev),84,0,35,187027753,PUGET SOUND ENERGY INC
3C3CFFGE4E,king,seattle,WA,98105,2014,fiat,500,battery electric vehicle (bev),87,0,43,312754718,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5YJSA1E22K,king,redmond,WA,98052,2019,tesla,model s,battery electric vehicle (bev),270,0,45,260171922,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
WBY1Z2C58G,snohomish,bothell,WA,98021,2016,bmw,i3,battery electric vehicle (bev),81,0,1,180430512,PUGET SOUND ENERGY INC
1FADP5CU8F,thurston,olympia,WA,98502,2015,ford,c-max,plug-in hybrid electric vehicle (phev),19,0,22,140718749,PUGET SOUND ENERGY INC
1N4AZ0CPXF,king,seattle,WA,98103,2015,nissan,leaf,battery electric vehicle (bev),84,0,46,173132018,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
WBY1Z2C52F,king,seattle,WA,98115,2015,bmw,i3,battery electric vehicle (bev),81,0,46,293870629,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
5YJXCAE27J,snohomish,brier,WA,98036,2018,tesla,model x,battery electric vehicle (bev),238,0,1,475871532,PUGET SOUND ENERGY INC
5YJ3E1EB3L,king,sammamish,WA,98074,2020,tesla,model 3,battery electric vehicle (bev),322,0,45,9867658,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
5YJ3E1EA0L,snohomish,mill creek,WA,98012,2020,tesla,model 3,battery electric vehicle (bev),266,0,44,104137120,PUGET SOUND ENERGY INC
1N4AZ0CP8F,king,seattle,WA,98115,2015,nissan,leaf,battery electric vehicle (bev),84,0,46,205211275,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
WBY1Z6C53H,thurston,yelm,WA,98597,2017,bmw,i3,battery electric vehicle (bev),81,0,2,169680787,PUGET SOUND ENERGY INC
5YJSA1E23H,yakima,yakima,WA,98901,2017,tesla,model s,battery electric vehicle (bev),210,0,15,255647577,PACIFICORP
